  46   1 5.19-06 4.23-06 3.78-06 3.32-06 2.78-06 1.99-06 1.41-06 9.21-07 4.75-07 2.71-07 1.48-07 6.37-08 3.28-08 1.67-08 0.00+00
  47   1 1.36+01 7.11-06 5.23-06 4.20-06 3.32-06 2.29-06 1.63-06 1.09-06 5.98-07 3.65-07 2.20-07 1.16-07 7.68-08 5.53-08 3.02-08
  48   1 3.95+07 3.88-04 3.42-04 3.15-04 2.86-04 2.45-04 2.14-04 1.87-04 1.70-04 1.78-04 2.06-04 2.65-04 3.14-04 3.57-04 4.61-04
  49   1 2.31+11 7.08-04 7.38-04 7.73-04 8.23-04 9.16-04 1.02-03 1.16-03 1.49-03 1.92-03 2.55-03 3.67-03 4.69-03 5.84-03-2.40-03
   3   2 7.97+07 7.82-01 7.81-01 7.90-01 8.10-01 8.68-01 9.42-01 1.04+00 1.22+00 1.39+00 1.57+00 1.81+00 1.98+00 2.15+00-2.31-01
   4   2 8.11+07 2.31+00 2.33+00 2.36+00 2.43+00 2.60+00 2.83+00 3.13+00 3.67+00 4.16+00 4.70+00 5.42+00 5.94+00 6.45+00-6.93-01
   5   2 8.41+07 3.83+00 3.88+00 3.93+00 4.04+00 4.34+00 4.71+00 5.21+00 6.10+00 6.92+00 7.81+00 9.01+00 9.88+00 1.07+01-1.15+00
   6   2 1.00-30 8.05-02 7.29-02 6.47-02 5.70-02 5.49-02 5.31-02 4.59-02 3.25-02 2.33-02 1.59-02 8.88-03 5.41-03 3.17-03 0.00+00
   7   2 5.28+04 7.57-02 7.48-02 7.40-02 8.00-02 1.02-01 1.06-01 9.03-02 5.74-02 3.63-02 2.16-02 1.03-02 5.94-03 3.64-03-7.99-05
   8   2 1.00-30 5.11-01 4.03-01 3.17-01 2.59-01 2.21-01 2.10-01 2.09-01 2.19-01 2.31-01 2.42-01 2.53-01 2.59-01 2.62-01 2.68-01
   9   2 5.19+10 3.72-02 2.95-02 2.53-02 2.35-02 2.33-02 2.46-02 2.86-02 4.09-02 5.69-02 7.90-02 1.16-01 1.50-01 1.86-01-5.92-02
  10   2 5.19+10 1.24-01 9.38-02 7.85-02 7.19-02 7.05-02 7.41-02 8.60-02 1.23-01 1.71-01 2.37-01 3.50-01 4.49-01 5.57-01-1.77-01
  11   2 5.18+10 1.93-01 1.49-01 1.27-01 1.18-01 1.17-01 1.23-01 1.43-01 2.04-01 2.84-01 3.94-01 5.82-01 7.47-01 9.27-01-2.95-01
  12   2 1.00-30 3.04-02 1.99-02 1.41-02 1.11-02 8.52-03 6.49-03 4.60-03 2.69-03 1.68-03 9.95-04 4.62-04 2.48-04 1.29-04 0.00+00
  13   2 8.29+06 6.76-02 6.73-02 6.73-02 6.96-02 7.37-02 7.82-02 8.63-02 1.03-01 1.19-01 1.35-01 1.52-01 1.59-01 1.64-01 1.69-01
