  30   3 4.49+01 1.08-02 1.06-02 1.02-02 9.39-03 7.76-03 6.38-03 4.92-03 3.08-03 1.96-03 1.16-03 5.33-04 2.83-04 1.47-04 0.00+00
  31   3 2.00-01 6.29-03 6.01-03 5.71-03 5.13-03 4.06-03 3.24-03 2.46-03 1.54-03 9.85-04 5.89-04 2.74-04 1.47-04 7.66-05 0.00+00
  32   3 6.43+08 2.63-03 2.57-03 2.46-03 2.30-03 1.98-03 1.70-03 1.43-03 1.19-03 1.14-03 1.19-03 1.43-03 1.74-03 2.14-03-8.16-04
  33   3 7.82+02 3.34-04 1.62-03 2.73-03 3.53-03 4.09-03 4.31-03 4.47-03 4.70-03 4.90-03 5.04-03 4.67-03 3.90-03 2.98-03 3.79-04
  34   3 6.82-06 1.95-04 9.32-04 1.53-03 1.87-03 1.90-03 1.70-03 1.38-03 9.31-04 6.37-04 4.10-04 2.13-04 1.24-04 7.03-05 0.00+00
  35   3 1.66-03 2.39-04 1.14-03 1.89-03 2.35-03 2.48-03 2.33-03 2.09-03 1.79-03 1.63-03 1.53-03 1.33-03 1.08-03 8.10-04 6.85-05
  36   3 4.48-07 6.53-05 3.09-04 5.03-04 6.07-04 5.99-04 5.14-04 3.96-04 2.43-04 1.52-04 8.90-05 4.06-05 2.16-05 1.12-05 0.00+00
  37   3 1.00-30 1.36-03 6.22-03 1.05-02 1.41-02 1.78-02 2.05-02 2.37-02 2.97-02 3.59-02 4.24-02 4.40-02 3.77-02 2.84-02 0.00+00
  38   3 5.93+06 4.99-04 1.83-03 2.79-03 3.37-03 3.50-03 3.18-03 2.61-03 1.72-03 1.13-03 7.56-04 9.23-04 1.56-03 2.36-03 4.66-03
  39   3 3.54-02 4.12-04 1.51-03 2.30-03 2.78-03 2.91-03 2.71-03 2.35-03 1.85-03 1.58-03 1.41-03 1.17-03 9.16-04 6.57-04 0.00+00
